3,1,9-Task2
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
126.2366,2.746022,1.217517,1.654654,0.3688456,0.0569843,0.1012798,0.9221975,0.8350594,-0.02049251,0.6547694,0.01776396,0.7553421,0,0,0,0,51.68864,0,1,2.082813E-05,-0.0003062423,0.002984255,5.451561E-11,1.764115E-09,-3.085868E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,-1.197724E-10,-7.014334E-12,-2.057265E-09,1,0.9695085,0,0,0,1
126.2861,2.546673,1.139191,1.585951,0.4439476,0.04994487,0.1108282,0.8877686,0.834088,-0.01987495,0.654291,0.01720593,0.7557858,0,0,0,0,49.70881,0,1,0,0,0,6.981192E-10,-5.649298E-08,8.407509E-09,1,1,0,0,0,1,1,1,0,0,0,0.08326023,0.0006724958,0.004674808,0.9965069,1,0,0,0,1,2,1,-0.2658882,-0.1032142,-0.09300684,4.798277E-10,-4.704916E-08,3.959026E-09,1,0.9988368,0,0,0,1
126.3368,2.494017,1.118592,1.567705,0.4680375,0.04866158,0.1163736,0.87466,0.834088,-0.01872776,0.6543165,0.0162128,0.755815,0,0,0,0,53.1034,0,1,0,0,0,8.835435E-10,-1.819394E-08,-3.318242E-09,1,1,0,0,0,1,1,1,0,0,0,0.02762305,-0.0001776605,0.004614773,0.9996059,1,0,0,0,1,2,1,0,0,0,8.091128E-10,-1.612236E-08,-4.127901E-09,1,1,0,0,0,1
126.3859,2.486685,1.115316,1.564658,0.4905468,0.04424623,0.1174957,0.862323,0.834088,-0.01772114,0.6543952,0.01534373,0.7557893,0,0,0,0,54.80959,0,1,0.002977505,0.0003646985,3.818141E-05,1.133711E-10,1.16902E-08,-5.630115E-09,1,1,0,0,0,1,1,1,0,0,0,0.02602591,-0.001238404,-0.0007398544,0.9996726,1,0,0,0,1,2,1,0,0,0,4.691674E-10,1.906742E-08,-6.199458E-09,0.9999999,1,0,0,0,1
126.436,2.570724,1.125413,1.578208,0.5075297,0.04310242,0.1202527,0.8521121,0.834088,-0.01696789,0.6544392,0.01469267,0.7557814,0,0,0,0,55.03652,0,1,0.1430821,0.01485891,0.02483422,-4.337875E-11,-5.032835E-09,-1.131304E-10,0.9999999,1,0,0,0,1,1,1,0,0,0,0.01990867,0.0001443192,0.002279433,0.999797,1,0,0,0,1,2,1,0.007197493,0.00428985,-0.001216107,1.990316E-10,-5.783853E-09,4.424551E-09,0.9999999,1,0,0,0,1
126.4862,2.795079,1.147548,1.638737,0.5307085,0.03915211,0.1191913,0.8382179,0.8079334,-0.01658412,0.6542074,0.01435119,0.7559971,0,0,0,0,52.5357,0,1,0.2836804,0.0251593,0.08767545,4.251461E-10,-1.505018E-09,-7.999443E-09,1,1,0,0,0,1,1,1,0,0,0,0.02723245,0.0005338845,-0.002261475,0.9996127,1,0,0,0,1,2,1,0,0,0,2.259514E-10,6.283123E-09,-9.515101E-09,1,0.9686429,0,0,0,1
126.5358,3.0001,1.166135,1.695919,0.5498962,0.04017894,0.1218639,0.8253176,0.7392447,-0.01647699,0.6534971,0.01423135,0.7566159,0,0,0,0,46.2616,0,1,0.1433232,0.01286919,0.03640494,-1.845385E-10,7.867284E-09,-3.214774E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,0.02290575,0.00224198,0.003603367,0.9997374,1,0,0,0,1,2,1,0,0,0,-2.54057E-10,9.41627E-09,-2.931025E-09,0.9999999,0.9149822,0,0,0,1
126.5861,3.091688,1.173981,1.721197,0.5663833,0.04004932,0.1181809,0.8146406,0.7128465,-0.01648719,0.6527313,0.01421106,0.7572768,0,0,0,0,40.38577,0,1,0.05380217,0.003990565,0.01814414,1.01889E-11,-1.619168E-08,1.111234E-09,1,1,0,0,0,1,1,1,0,0,0,0.01933854,0.004392748,-0.00247365,0.9997947,1,0,0,0,1,2,1,0,0,0,-2.254655E-10,-1.181608E-08,8.473415E-10,1,0.9642903,0,0,0,1
126.6364,3.234977,1.212945,1.803885,0.5789645,0.03911549,0.117565,0.8058836,0.716928,-0.01669226,0.6517137,0.01434892,0.7581456,0,0,0,0,37.36889,0,1,0.009003953,-6.594247E-05,0.008992118,-4.396073E-10,-1.235608E-08,-2.132642E-09,1,1,0,0,0,1,1,1,0,0,0,0.01529756,0.001398423,-0.0005113873,0.9998751,1,0,0,0,1,2,1,0.2253082,0.07293466,0.1370354,-4.396073E-10,-1.235608E-08,-2.132642E-09,1,1.005726,0,0,0,1
126.6869,3.167105,1.22682,1.827755,0.587982,0.04115072,0.1184073,0.7991018,0.716928,-0.01743122,0.6498665,0.01491105,0.7597023,0,0,0,0,34.59779,0,1,-0.2680074,-0.02588004,-0.06037993,-1.165073E-10,2.292455E-08,4.095385E-09,1,1,0,0,0,1,1,1,0,0,0,0.01098426,0.002477397,0.002314546,0.9999354,1,0,0,0,1,2,1,0,0,0,-1.165073E-10,2.292455E-08,4.095385E-09,1,1,0,0,0,1
126.738,3.007855,1.215052,1.787385,0.5941433,0.04195812,0.1164361,0.7947804,0.716928,-0.01797859,0.6485309,0.0153251,0.7608216,0,0,0,0,33.37774,0,1,-0.1189169,-0.01129646,-0.04066768,1.217262E-10,1.619482E-08,-1.870821E-10,1,1,0,0,0,1,1,1,0,0,0,0.007281892,0.002724296,-0.0008479257,0.9999711,1,0,0,0,1,2,1,0,0,0,1.217262E-10,1.619482E-08,-1.870821E-10,1,1,0,0,0,1
126.7862,2.975931,1.214332,1.765072,0.5954257,0.03948693,0.1127077,0.7944848,0.716928,-0.01839636,0.6477255,0.01564798,0.7614909,0,0,0,0,37.64441,0,1,0.008658956,0.00360566,-0.01786266,8.571662E-10,-6.959507E-09,-5.823697E-09,1,1,0,0,0,1,1,1,0,0,0,0.001331247,0.0004239991,-0.004445306,1.000004,1,0,0,0,1,2,1,0,0,0,6.056791E-10,-3.498034E-09,-3.244903E-09,1,1,0,0,0,1
