3,2,Time2-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
434.8666,0.8198019,0.2803101,1.80451,5.280119E-07,2.354906E-07,4.012532E-06,1,0.1301033,-0.01947734,0.687546,0.01845471,0.7256449,0,0,0,0,93.4471,118.2017,0,1,0,0,0,6.833142E-11,-5.886135E-11,-1.667125E-09,1,1,3.77051E-12,-1.317799E-10,-4.551872E-10,1,1,1,0,0,0,2.679026E-11,-6.849122E-10,-3.334375E-10,1,1,2.699758E-11,2.656078E-10,-5.934422E-10,1,2,1,-0.00228685,-0.005452978,-0.001017403,0,0,0,1,1,-0.001758047,0.001879738,-0.002636862,0.999993
434.9154,0.817607,0.2752191,1.803692,5.279477E-07,2.349575E-07,4.013582E-06,1,0.1301033,-0.01974071,0.6880541,0.01873088,0.725149,0,0,0,0,90.46882,114.389,0,1,0,0,0,-3.212772E-11,-2.665468E-10,5.252576E-10,1,1,-3.031446E-11,-1.337968E-09,2.135358E-09,1,1,1,0,0,0,-3.212772E-11,-2.665468E-10,5.252576E-10,1,1,4.075774E-11,-4.444831E-10,1.913554E-09,1,2,1,-0.001146993,-0.002727762,-0.000493679,0,0,0,1,1,-0.005349071,3.601108E-05,0.002424451,0.9999827
434.9656,0.8162968,0.2720843,1.80317,5.278905E-07,2.324666E-07,4.014622E-06,1,0.1301033,-0.0202943,0.6890713,0.01931117,0.7241519,0,0,0,0,93.69711,118.4341,0,1,0,0,0,-3.429262E-11,-2.006052E-09,1.254804E-09,1,1,-8.45759E-11,-5.005199E-09,2.254598E-09,1,1,1,0,0,0,-2.286464E-11,-4.847759E-10,-2.142585E-10,1,1,-8.697667E-11,-5.107534E-09,1.520643E-09,1,2,1,-0.001129966,-0.002740824,-0.0004594109,0,0,0,1,1,0.0005714554,0.003590948,-0.0009870959,0.999993
435.0163,0.8159952,0.27136,1.803049,5.280804E-07,2.352379E-07,4.009669E-06,1,0.1301033,-0.01978385,0.6901602,0.01888158,0.7231396,0,0,0,0,93.76123,118.4934,0,1,0,0,0,1.120325E-10,1.228494E-09,-3.37134E-09,1,1,1.451391E-10,1.327201E-09,-1.611818E-09,1,1,1,0,0,0,7.786344E-11,1.5428E-09,-1.580903E-09,1,1,1.451391E-10,1.327201E-09,-1.611818E-09,1,2,1,0,0,0,0,0,0,1,1,0.0004387888,-0.0006357465,-0.001273185,0.9999987
435.067,0.8159444,0.2712382,1.803029,5.279961E-07,2.398043E-07,4.009441E-06,1,0.1301033,-0.01998431,0.6905897,0.01909591,0.7227184,0,0,0,0,93.7844,118.5148,0,1,0,0,0,-6.327188E-11,1.992898E-09,-4.758243E-10,1,1,-1.921504E-11,6.055877E-10,-4.74756E-10,1,1,1,0,0,0,-2.101768E-11,2.573425E-09,2.472735E-10,1,1,2.48418E-11,-7.817226E-10,-4.736876E-10,1,2,1,0,0,0,0,0,0,1,1,0.000706859,-5.370765E-06,0.001196396,0.9999989
435.1156,0.8159359,0.2712178,1.803025,5.283388E-07,2.378198E-07,4.010466E-06,1,0.1301033,-0.0197869,0.6904911,0.01890183,0.7228231,0,0,0,0,90.66401,114.5696,0,1,0,0,0,1.547453E-10,-4.198981E-09,1.280081E-09,1,1,1.719221E-10,4.264935E-09,1.123754E-09,1,1,1,0,0,0,1.878935E-10,2.214433E-09,-2.567508E-10,1,1,7.648748E-11,2.09221E-09,2.321896E-09,1,2,1,0,0,0,0,0,0,1,1,0.005222009,-0.0009466968,-0.001366115,0.9999853
435.1656,0.8159345,0.2712144,1.803025,5.284438E-07,2.382001E-07,4.006088E-06,1,0.1301033,-0.02022725,0.6909258,0.01934641,0.7223837,0,0,0,0,93.79168,118.5215,0,1,0,0,0,1.784854E-11,5.839569E-10,-2.209123E-09,1,1,2.330645E-10,-1.404312E-10,-1.278891E-09,1,1,1,0,0,0,8.718997E-11,-2.036053E-10,-2.169111E-09,1,1,1.430001E-10,7.788115E-10,-4.624139E-10,1,2,1,0,0,0,0,0,0,1,1,-0.001443565,0.003581693,0.001862134,0.9999907
435.2155,0.8159343,0.2712138,1.803025,5.285225E-07,2.366515E-07,4.006569E-06,1,0.1301033,-0.01972532,0.6916769,0.018905,0.7216901,0,0,0,0,93.79198,118.5218,0,1,0,0,0,-4.063702E-11,-6.155511E-10,2.470334E-10,1,1,1.298938E-10,-4.803588E-09,-1.119995E-10,1,1,1,0,0,0,1.193739E-10,-9.330325E-10,2.334068E-10,1,1,8.243077E-11,-3.796227E-09,4.817051E-10,1,2,1,0,0,0,0,0,0,1,1,0.001053785,-0.002472589,-0.004087351,0.9999881
435.2668,0.8159343,0.2712137,1.803025,5.283333E-07,2.372163E-07,4.006553E-06,1,0.1301033,-0.01943175,0.6909485,0.01858564,0.7224037,0,0,0,0,96.91844,122.4726,0,1,0,0,0,-1.694862E-10,1.792686E-09,1.034602E-10,1,1,-1.498568E-10,3.020598E-09,2.216651E-10,1,1,1,0,0,0,-1.878269E-11,-2.493151E-10,-2.804198E-10,1,1,-2.28004E-10,3.27902E-09,1.136935E-09,1,2,1,0,0,0,0,0,0,1,1,0.001457761,-0.001489099,0.001475199,0.9999965
435.3155,0.8159343,0.2712137,1.803025,5.281649E-07,2.362997E-07,4.00726E-06,1,0.1301033,-0.01917195,0.6904311,0.01831054,0.7229123,0,0,0,0,90.66563,114.5711,0,1,0,0,0,-1.16196E-10,-4.45961E-11,5.78657E-10,1,1,1.599715E-11,-1.855218E-09,-5.870191E-10,1,1,1,0,0,0,-5.303137E-11,-1.850509E-09,2.896576E-10,1,1,-6.719109E-11,9.296197E-10,1.628679E-09,1,2,1,0,0,0,0,0,0,1,1,0.001583685,-0.0008148432,6.882734E-05,0.9999983
