Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
649.566,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.05230728,0.5594751,0.0354106,0.8264367,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,0.0187369,0.02649907,0.01587305,0.999347
649.6155,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.05627743,0.5714135,0.03932288,0.8177855,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,0.01734328,0.0199079,0.02129918,0.9994242
649.6656,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.06230121,0.5797577,0.04452709,0.8111825,1,0,0,0,67.42654,103.5164,0,1,0,0,0,0,0,0,1,1,0.02446273,0.006652968,0.0154888,0.9995586
649.7161,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.07351347,0.5891768,0.05394885,0.8028424,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,0.02252099,0.02510872,0.04139742,0.9985732
649.7656,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.08867142,0.5959492,0.06644151,0.7953411,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,0.01853478,0.00375361,0.02620359,0.9994777
649.816,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1031885,0.595951,0.07758925,0.7925746,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,0.01583738,-0.003582573,0.01889667,0.9996895
649.8655,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1164774,0.5934983,0.08733291,0.791559,1,0,0,0,67.42654,103.5164,0,1,0,0,0,0,0,0,1,1,0.00977384,0.001415503,0.01609941,0.9998215
649.916,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1280082,0.589829,0.09538115,0.7915921,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,0.007748031,-0.0004421122,0.01248586,0.9998918
649.9655,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1367429,0.5862902,0.1012216,0.792035,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,0.005364519,0.0002328632,0.007065164,0.9999606
650.016,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1433942,0.5828514,0.1054141,0.7928495,1,0,0,0,67.42654,103.5164,0,1,0,0,0,0,0,0,1,1,0.002956506,-0.00145114,0.005589271,0.999979
650.0656,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1484454,0.5809149,0.1087593,0.7928892,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.0004182622,0.00403341,0.002554819,0.9999885
650.116,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1501672,0.5819424,0.1103972,0.7915841,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,-0.005213744,0.004659056,-0.007892593,0.9999445
650.1655,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1478254,0.58322,0.1089554,0.7912843,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.01708812,-0.01515573,-0.02203051,0.9994962
650.2159,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1394741,0.5812572,0.1019536,0.7951683,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,-0.02542895,-0.02316822,-0.03085508,0.9989313
650.2654,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1276577,0.577145,0.09194164,0.8013451,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.03267899,-0.02826466,-0.03725313,0.9983714
650.3154,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1145354,0.5637431,0.07931117,0.8141162,1,0,0,0,71.47215,109.7273,0,1,0,0,0,0,0,0,1,1,-0.04411322,-0.0531765,-0.02989503,0.9971622
650.3694,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1064581,0.5394659,0.06899426,0.8323959,1,0,0,0,53.94123,82.81308,0,1,0,0,0,0,0,0,1,1,-0.03654064,-0.05019144,-0.01862947,0.997897
650.4189,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1041405,0.5175329,0.06363823,0.8469148,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.0216408,-0.02130768,-0.008602638,0.9995016
650.4693,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1043242,0.4993755,0.06072366,0.8579354,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,-0.01081774,-0.01773306,-0.004511911,0.999774
650.5197,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.105382,0.4833411,0.05874374,0.8670786,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,-0.001782008,-0.01499892,-0.0009491715,0.9998855
650.5692,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1063072,0.4737816,0.05774021,0.8722935,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,0.005581563,0.01126219,0.002261269,0.9999184
650.6196,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1049523,0.4754562,0.05725271,0.8715782,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,0.01629663,0.02636019,0.004179171,0.9995107
