Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
333.8903,3.25092,1.183496,1.683449,1.334895E-07,1.211514E-06,0.000000032,1,0.1843774,-0.0251405,0.6546165,0.02179126,0.7552287,0,0,0,0,53.30147,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.01212139,-0.005147641,-0.01937954,-1.624735E-09,1.427545E-08,6.774581E-09,1,1,0,0,0,1
333.9397,3.240576,1.179137,1.666885,1.352594E-07,1.192454E-06,2.190701E-08,1,0.1846024,-0.02502369,0.655054,0.02171525,0.7548553,0,0,0,0,51.69499,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.00969876,-0.004048415,-0.01607985,8.721219E-10,-6.36962E-09,-4.593389E-09,1,1,0,0,0,1
333.9896,3.231904,1.175493,1.653922,1.375628E-07,1.162747E-06,2.964366E-08,1,0.1849399,-0.02487124,0.6556289,0.02161596,0.754364,0,0,0,0,53.29274,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.007462429,-0.0031637,-0.009813419,1.151711E-09,-1.485355E-08,3.868318E-09,1,1,0,0,0,1
334.0394,3.229576,1.174512,1.650599,1.374122E-07,1.172777E-06,2.158724E-08,1,0.185502,-0.02472195,0.6561808,0.02151778,0.7538916,0,0,0,0,51.60591,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-7.533495E-11,0.000000005,-0.000000004,1,1,0,0,0,1
334.0903,3.229185,1.174347,1.65004,0.000000139,1.151857E-06,1.631966E-08,1,0.1860636,-0.02460068,0.6566275,0.02143768,0.7535089,0,0,0,0,52.86611,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,9.453579E-10,-1.046999E-08,-3.511669E-09,1,1,0,0,0,1
334.1403,3.227846,1.173785,1.648281,1.408854E-07,0.000001115,6.435245E-09,1,0.1864563,-0.02450305,0.6569852,0.02137294,0.753202,0,0,0,0,50.81418,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.002496981,-0.001046574,-0.003266461,9.381267E-10,-1.906476E-08,-6.374342E-09,1,1,0,0,0,1
334.1901,3.226817,1.173354,1.646933,1.403364E-07,0.000001082,1.459272E-09,1,0.1865685,-0.02441707,0.6572946,0.02131549,0.7529365,0,0,0,0,50.89099,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.771414E-10,-1.828941E-08,-3.505833E-09,0.9999999,1,0,0,0,1
334.24,3.226644,1.173282,1.646707,1.425777E-07,1.120295E-06,-1.951008E-08,1,0.1867927,-0.02434813,0.6575416,0.02126928,0.7527243,0,0,0,0,52.01086,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.225874E-09,2.056999E-08,-1.241752E-08,1,1,0,0,0,1
334.29,3.226614,1.17327,1.646669,1.413344E-07,1.112123E-06,-1.645067E-08,1,0.1868488,-0.02429436,0.657734,0.02123319,0.7525589,0,0,0,0,55.21803,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-6.216905E-10,-4.086472E-09,1.529706E-09,1,1,0,0,0,1
334.3403,3.226609,1.173268,1.646662,1.406681E-07,1.120587E-06,-3.941356E-09,1,0.1869608,-0.02425271,0.657883,0.02120521,0.7524307,0,0,0,0,55.22511,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.249184E-10,4.84025E-09,6.679592E-09,1,1,0,0,0,1
334.392,3.226609,1.173267,1.646661,1.37613E-07,1.116445E-06,9.777116E-09,1,0.1871849,-0.02422049,0.6579984,0.02118354,0.7523316,0,0,0,0,44.60824,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.657695E-09,-1.826928E-09,6.341838E-09,1,1,0,0,0,1
334.4399,3.224688,1.172474,1.644196,1.377957E-07,1.08957E-06,1.659239E-08,1,0.1874089,-0.02418817,0.6581107,0.02116159,0.7522351,0,0,0,0,52.06713,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.002526898,-0.001044362,-0.003244086,2.628938E-10,-1.259184E-08,1.230957E-09,1,1,0,0,0,1
