5,3,Ching and Liu-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
818.5875,1.310395,0.05912262,-1.463587,-4.154466E-07,-3.741824E-07,5.491409E-08,1,1,0.1502822,0.09218169,-0.01407516,0.9842356,0,0,0,0,3.22107,2.74838,0.9258119,0,1,0,0,0,6.184065E-08,2.454709E-08,3.788268E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,4.979577E-10,-6.017148E-09,-1.447061E-08,1,1,0,0,0,1,3,1,0,0,0,3.192588E-08,5.287764E-09,-7.023262E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.6358,1.354429,0.09941141,-1.41775,-4.002649E-07,-3.399067E-07,6.444117E-08,1,1,0.14505,0.09648322,-0.01421369,0.9846063,0,0,0,0,3.201782,2.74838,0.9258119,0,1,0,0,0,1.949405E-09,-7.873703E-09,-2.531686E-10,0.9999996,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-2.268115E-09,-7.459393E-09,9.497549E-10,0.9999996,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.689,1.391319,0.1422479,-1.368093,-2.781889E-07,-3.376522E-07,3.486716E-08,1,1,0.1397733,0.1004699,-0.01425729,0.98497,0,0,0,0,3.185753,2.74838,0.9258119,0,1,0,0,0,1.787152E-08,-3.147544E-08,-7.126077E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,5.683889E-08,1.83982E-08,-1.224432E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.7363,1.401289,0.1547109,-1.35352,-2.930626E-07,-4.587235E-07,2.899983E-08,1,1,0.1349748,0.1038454,-0.01422577,0.9852896,0,0,0,0,3.175081,2.74838,0.9258119,0,1,0,0,0,2.120763E-08,-2.798606E-09,-1.042986E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,-6.511946E-08,-1.281159E-07,5.32532E-09,1,1,0,0,0,1,3,1,0,0,0,2.90381E-08,9.84299E-09,-7.6268E-10,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.7851,1.402964,0.1568055,-1.351071,-3.437365E-07,-4.291283E-07,3.380889E-08,1,1,0.1311391,0.1064922,-0.0141704,0.9855258,0,0,0,0,3.171852,2.74838,0.9258119,0,1,0,0,0,2.992477E-08,4.608956E-08,-4.097415E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,-1.935246E-08,2.081464E-08,5.137034E-09,1,1,0,0,0,1,3,1,0,0,0,-6.124616E-08,-3.730903E-08,3.769382E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.8386,1.458995,0.2690451,-1.219524,-2.601872E-07,-4.072554E-07,-5.22736E-09,1,1,0.1259331,0.1089997,-0.01392251,0.9859341,0,0,0,0,3.150294,2.74838,0.9258119,0,1,0,0,0,7.807294E-09,-6.224888E-09,-3.527617E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,5.315792E-10,-1.356373E-09,-2.51339E-09,1,1,0,0,0,1,3,1,0,0,0,1.844408E-08,4.203354E-09,-4.537257E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.8873,1.477394,0.3272645,-1.149438,-3.286284E-07,-4.695952E-07,1.093953E-08,1,1,0.1200004,0.1111367,-0.01351976,0.986441,0,0,0,0,3.127734,2.74838,0.9258119,0,1,0,0,0,-1.945181E-08,-8.935722E-09,-9.020074E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-3.161337E-08,-2.830933E-08,1.672147E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.9382,1.48639,0.3896306,-1.073624,-4.355015E-07,-4.581734E-07,2.337665E-08,1,1,0.1138795,0.1127198,-0.01300563,0.9869937,0,0,0,0,3.109787,2.74838,0.9258119,0,1,0,0,0,-3.840613E-08,-8.815846E-10,5.250677E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-5.394348E-08,-2.392376E-09,5.723513E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.9866,1.496647,0.4574371,-0.9929543,-6.343919E-07,-6.817163E-07,5.664988E-09,1,1,0.1071773,0.1137094,-0.01233959,0.9876391,0,0,0,0,3.089998,2.74838,0.9258119,0,1,0,0,0,-3.65776E-08,-5.2752E-08,-3.109095E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,-1.907056E-07,-1.448831E-07,-6.611326E-09,1,1,0,0,0,1,3,1,0,0,0,4.569674E-08,-5.711525E-10,-4.324229E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
819.037,1.51924,0.5402117,-0.9000829,-7.122258E-07,-6.864246E-07,1.916158E-08,1,1,0.1001396,0.1144003,-0.01159154,0.9883068,0,0,0,0,3.076389,2.74838,0.9258119,0,1,0,0,0,1.519435E-08,1.560288E-08,-3.866646E-10,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,4.384441E-09,3.172058E-09,-6.862762E-09,1,1,0,0,0,1,3,1,0,0,0,-4.9326E-08,-1.221955E-08,1.051046E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
