2,2,Time1-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
655.5323,1.930152,1.545551,1.423581,1.672504E-07,3.949283E-07,1.18567E-08,1,0.603565,-0.02986,0.6544732,0.02588242,0.7550518,0,0,0,0,102.6956,139.5175,0,1,0.03535062,0.007297756,-0.01049519,7.162475E-10,1.6443E-08,-9.925714E-09,1,1,0,0,0,1,1,1,0,0,0,9.876854E-10,1.083073E-08,-9.409302E-09,1,1.000632,0,0,0,1
655.582,1.961798,1.552059,1.413601,1.657979E-07,3.7618E-07,1.213729E-08,1,0.603565,-0.03034702,0.6558868,0.02640562,0.7537867,0,0,0,0,103.5701,141.113,0,1,0.02964635,0.005885501,-0.01180749,-6.498145E-10,-8.645614E-09,-1.184093E-10,1,1,0,0,0,1,1,1,0,0,0,-8.027166E-10,-1.01027E-08,3.989877E-10,1,1,0,0,0,1
655.6318,1.981919,1.556441,1.40885,1.679352E-07,3.853949E-07,-3.179311E-08,1,0.603565,-0.03077055,0.6571432,0.02686566,0.7526581,0,0,0,0,104.6698,142.9417,0,1,0.01484715,0.003676274,0.0002103053,1.232887E-09,4.10685E-09,-2.213643E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,9.043066E-10,5.107907E-09,-2.179397E-08,0.9999999,1,0,0,0,1
655.6821,1.989451,1.5577,1.403323,1.697882E-07,3.723079E-07,-3.537796E-08,1,0.603565,-0.03112368,0.6582232,0.02725386,0.7516853,0,0,0,0,106.0905,145.1125,0,1,0.001352971,-0.0002917294,-0.005838182,9.265368E-10,-6.543509E-09,-1.792423E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,9.265368E-10,-6.543509E-09,-1.792423E-09,0.9999999,1,0,0,0,1
655.7319,1.990717,1.557911,1.402394,1.684225E-07,4.159245E-07,-4.693673E-08,1,0.603565,-0.03140411,0.6590929,0.02756457,0.7508998,0,0,0,0,101.3487,138.7126,0,1,0,0,0,-5.875564E-10,2.186803E-08,-8.388655E-09,1,1,0,0,0,1,1,1,0,0,0,-7.781905E-10,2.17485E-08,-3.170073E-09,1,1,0,0,0,1
655.7822,1.990929,1.557947,1.402238,1.665324E-07,4.22953E-07,-2.610653E-08,1,0.603565,-0.03162606,0.659768,0.02781046,0.7502884,0,0,0,0,112.2651,153.6791,0,1,0,0,0,-9.635411E-10,6.166226E-09,1.094846E-08,1,1,0,0,0,1,1,1,0,0,0,-9.266503E-10,8.623702E-10,9.881743E-09,1,1,0,0,0,1
655.8322,1.990965,1.557953,1.402212,1.633946E-07,4.786127E-07,-2.625261E-08,1,0.603565,-0.03180204,0.6602874,0.02800484,0.7498165,0,0,0,0,112.2423,153.6535,0,1,0,0,0,-1.873111E-09,3.242651E-08,-2.875025E-10,1,1,0,0,0,1,1,1,0,0,0,-1.264722E-09,2.323292E-08,1.414426E-10,1,1,0,0,0,1
655.8825,1.990971,1.557954,1.402207,1.634425E-07,4.795054E-07,-1.22374E-08,1,0.603565,-0.03194127,0.6606866,0.02815809,0.7494532,0,0,0,0,110.0366,150.6353,0,1,0,0,0,-6.685305E-12,4.258367E-10,7.942649E-09,1,1,0,0,0,1,1,1,0,0,0,5.457966E-11,4.666645E-10,6.072562E-09,1,1,0,0,0,1
655.9325,1.990972,1.557954,1.402206,1.634945E-07,5.097559E-07,-3.482213E-08,1,0.603565,-0.0320505,0.6609938,0.02827808,0.7491731,0,0,0,0,88.02853,120.5073,0,1,0,0,0,-1.469361E-10,1.69405E-08,-1.123814E-08,1,1,0,0,0,1,1,1,0,0,0,1.988565E-10,1.330973E-08,-1.134658E-08,1,1,0,0,0,1
655.9819,1.990972,1.557954,1.402206,1.6249E-07,5.015563E-07,-2.300244E-08,1,0.603565,-0.03213621,0.6612301,0.02837202,0.7489573,0,0,0,0,107.8347,147.6213,0,1,0,0,0,-5.02243E-10,-4.09982E-09,5.909849E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-5.02243E-10,-4.09982E-09,5.909849E-09,0.9999999,1,0,0,0,1
