1,7,Lindo-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1693.879,-73.76449,-57.89854,-225.8512,-0.6174338,0.007100965,-0.07514202,0.7829934,0.1560363,0.3937236,-0.1106081,0.0477879,0.911298,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.577443,1.96773,2.104067,0,1,0.00612517,-1.108485E-05,0.03078237,-9.388572E-08,-3.81699E-08,2.793184E-09,1,1,0,0,0,1
1693.929,-73.75101,-57.89923,-225.8113,-0.6174338,0.007101025,-0.07514203,0.7829935,0.1560363,0.3899074,-0.1116541,0.04769286,0.9128149,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.580493,1.96773,2.104067,0,1,0.02574456,-0.00206847,0.04424039,3.780207E-08,3.613951E-08,-4.010512E-08,1,1,0,0,0,1
1693.979,-73.72061,-57.90117,-225.7584,-0.6174341,0.007101024,-0.07514207,0.7829933,0.1560363,0.386457,-0.1114355,0.04709965,0.9143384,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.582311,1.96773,2.104067,0,1,0.03144353,-0.001719553,0.05121499,-2.520528E-08,-1.115668E-08,-1.722083E-08,1,1,0,0,0,1
1694.029,-73.6423,-57.90557,-225.662,-0.6174343,0.007101004,-0.07514209,0.7829931,0.1560363,0.3829869,-0.1090061,0.045568,0.9161672,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.586451,1.96773,2.104067,0,1,0.09431843,-0.0055704,0.1055702,-5.115027E-08,-7.381396E-09,7.998535E-09,0.9999999,1,0,0,0,1
1694.078,-73.56479,-57.9135,-225.6144,-0.6174344,0.00710101,-0.0751421,0.782993,0.1560363,0.3798407,-0.1045139,0.04323944,0.9181113,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.594318,1.96773,2.104067,0,1,0.07383423,-0.009062678,0.02614339,-3.244455E-08,5.215073E-09,-2.411584E-09,1,1,0,0,0,1
1694.129,-73.5046,-57.9221,-225.6063,-0.6174344,0.007101023,-0.07514207,0.782993,0.1560363,0.3775242,-0.09909229,0.04067232,0.9197837,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.60034,1.96773,2.104067,0,1,0.05237073,-0.008424564,-0.003467041,-3.166539E-08,3.533559E-08,1.078982E-08,1,1,0,0,0,1
1694.179,-73.47215,-57.92801,-225.6148,-0.6174349,0.007101011,-0.07514209,0.7829926,0.1560363,0.3760321,-0.09376729,0.03828166,0.9210549,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.602846,1.96773,2.104067,0,1,0.02317747,-0.004759581,-0.01141858,-8.344558E-08,8.581963E-09,2.498467E-09,0.9999999,1,0,0,0,1
1694.229,-73.45451,-57.93106,-225.618,-0.6174351,0.007101031,-0.07514212,0.7829924,0.1560363,0.3750562,-0.08910372,0.03624619,0.9219976,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.603714,1.96773,2.104067,0,1,0.01551746,-0.002434953,-0.0005649272,-4.046557E-08,8.801125E-09,-9.157754E-09,1,1,0,0,0,1
1694.279,-73.44144,-57.93198,-225.6084,-0.6174353,0.007101008,-0.07514215,0.7829923,0.1560363,0.3743087,-0.08501484,0.03448565,0.9227547,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.60549,1.96773,2.104067,0,1,0.006327339,0.001140424,0.01902561,-6.280045E-09,-3.617324E-09,-2.697363E-08,1,1,0,0,0,1
1694.329,-73.45993,-57.92706,-225.5861,-0.6174354,0.007100974,-0.07514217,0.7829922,0.1560363,0.3733869,-0.08192346,0.03312459,0.9234574,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.608543,1.96773,2.104067,0,1,-0.03135785,0.00647814,0.02084907,5.681342E-08,-2.817073E-08,1.734207E-09,1,1,0,0,0,1
