3,7,As Panteras-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
2098.432,-73.78237,-57.51437,-227.2434,-0.4153788,-0.1816247,0.8162836,0.357986,0.9298277,-0.2141903,0.1537392,0.03415874,0.9640124,0,0,0,0,0.1484508,2.188277,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-1.222345E-08,-1.22637E-08,1.403416E-08,1,1,0,0,0,1,1,1,0,0,0,-1.432612E-08,-9.889084E-09,1.267283E-08,1,1,0,0,0,1,2,1,0,0,0,-7.382868E-09,-1.467781E-08,1.303638E-08,1,1,0,0,0,1
2098.483,-73.78413,-57.51501,-227.2448,-0.4153788,-0.1816253,0.8162839,0.357985,0.9298277,-0.2136142,0.1563256,0.03465096,0.9637067,0,0,0,0,0.1484508,2.18696,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-1.34407E-08,-1.333904E-09,6.945587E-09,1,1,0,0,0,1,1,1,0,0,0,-1.480774E-08,-2.945622E-08,3.315704E-08,1,1,0,0,0,1,2,1,-0.00237451,-0.002108962,-0.003983846,-7.280267E-09,-1.841142E-09,1.822084E-09,1,1,0,0,0,1
2098.533,-73.76319,-57.51254,-227.2371,-0.4153793,-0.1816254,0.8162838,0.3579848,0.9298277,-0.2131344,0.158445,0.03505111,0.9634523,0,0,0,0,0.1484508,2.188011,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-6.171445E-08,2.299086E-08,1.212394E-08,1,1,0,0,0,1,1,1,0,0,0,-7.420448E-08,4.404665E-08,1.078087E-08,1,1,0,0,0,1,2,1,0.05232928,0.01197422,0.02879804,-5.2114E-08,1.175053E-08,1.685814E-08,1,1,0,0,0,1
2098.583,-73.664,-57.43699,-227.0954,-0.4153802,-0.1816245,0.8162836,0.3579846,0.9298277,-0.2126346,0.1609771,0.03553983,0.9631251,0,0,0,0,0.1484508,2.14545,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-6.594726E-08,6.918792E-08,-1.705831E-08,1,1,0,0,0,1,1,1,0,0,0,-4.657494E-08,5.909491E-08,-1.203348E-08,1,1,0,0,0,1,2,1,0.1262098,0.1213639,0.2217965,-3.11061E-08,2.232381E-08,-4.97245E-09,1,1,0,0,0,1
2098.633,-73.58812,-57.31355,-226.8835,-0.4153803,-0.1816247,0.8162836,0.3579842,0.9298277,-0.212496,0.1634218,0.03607105,0.9627241,0,0,0,0,0.1484508,1.984037,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,9.419584E-09,6.398805E-09,-7.668294E-09,1,1,0,0,0,1,1,1,0,0,0,-3.378283E-09,1.576143E-08,-6.020494E-09,1,1,0,0,0,1,2,1,0.03445039,0.09651411,0.1589838,-5.234039E-08,1.861853E-08,1.318624E-08,1,1,0,0,0,1
2098.683,-73.57447,-57.29109,-226.8453,-0.4153801,-0.1816249,0.816284,0.3579836,0.9298277,-0.2125389,0.1652765,0.0365008,0.9623817,0,0,0,0,0.1484508,1.902071,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,5.262713E-08,-2.932897E-08,1.899047E-09,1,1,0,0,0,1,1,1,0,0,0,4.468765E-08,-4.677798E-08,1.075496E-08,1,1,0,0,0,1,2,1,0,0,0,4.810195E-08,-1.470345E-08,-1.353911E-09,1,1,0,0,0,1
2098.732,-73.57218,-57.28732,-226.8389,-0.4153805,-0.1816241,0.8162838,0.357984,0.9298277,-0.2125975,0.1666885,0.03683305,0.9621126,0,0,0,0,0.1484508,1.879782,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-3.834761E-08,-1.710183E-08,2.409325E-08,1,1,0,0,0,1,1,1,0,0,0,-5.134429E-08,-9.483696E-09,2.761634E-08,1,1,0,0,0,1,2,1,0,0,0,-3.756963E-08,-1.644382E-08,2.612916E-08,1,1,0,0,0,1
2098.782,-73.5718,-57.28668,-226.8378,-0.4153805,-0.181624,0.8162836,0.3579846,0.9298277,-0.2126441,0.1677666,0.03708743,0.9619051,0,0,0,0,0.1484508,1.874566,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,7.36861E-08,-1.752561E-08,-1.331611E-08,1,1,0,0,0,1,1,1,0,0,0,7.274954E-08,-1.3132E-08,-1.383411E-08,1,1,0,0,0,1,2,1,0,0,0,8.481482E-08,-3.526651E-08,-7.259325E-09,1,1,0,0,0,1
2098.833,-73.57476,-57.28336,-226.8328,-0.4153808,-0.1816238,0.8162838,0.357984,0.9298277,-0.2126982,0.1685423,0.03727436,0.9617503,0,0,0,0,0.1484508,1.873027,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,1.527894E-08,3.441789E-08,-1.484701E-08,1,1,0,0,0,1,1,1,0,0,0,5.458036E-09,5.424772E-08,-1.24888E-08,1,1,0,0,0,1,2,1,-0.002583023,0.008056875,0.01233128,1.689634E-08,6.734227E-08,-1.550047E-08,1,1,0,0,0,1
2098.883,-73.47466,-57.20454,-226.7022,-0.4153805,-0.1816242,0.8162841,0.3579832,0.9298277,-0.2127795,0.1695521,0.03752004,0.9615452,0,0,0,0,0.1484508,1.853108,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,2.274122E-08,-4.432906E-08,-1.54516E-08,1,1,0,0,0,1,1,1,0,0,0,2.542781E-08,-4.66661E-08,-1.29923E-08,1,1,0,0,0,1,2,1,0.2108203,0.16913,0.2806253,5.560764E-08,-4.342858E-08,-2.521652E-08,1,1,0,0,0,1
