1,7,Quarto Solitario-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
8204.602,-73.75736,-57.04485,-225.7621,0.07443784,0.04536195,-0.9950818,0.0470463,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6060685,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.651,-73.75736,-57.04485,-225.7621,0.07443783,0.04535746,-0.9950828,0.04703184,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6060628,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.706,-73.75736,-57.04485,-225.7621,0.07443788,0.04535329,-0.9950838,0.04701461,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6060582,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.753,-73.75736,-57.04485,-225.7621,0.07443772,0.04534994,-0.9950848,0.0469992,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6060518,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.804,-73.75736,-57.04485,-225.7621,0.07443773,0.04534826,-0.9950851,0.04699241,0.7687141,0.2783334,0.3837972,-0.1225173,0.8719058,0,0,0,0,0.1486226,0.6060477,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.854,-73.75736,-57.04485,-225.7621,0.0744377,0.04534823,-0.9950851,0.04699254,0.7687141,0.2712019,0.3842409,-0.1191729,0.8744177,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.904,-73.75736,-57.04485,-225.7621,0.07443773,0.04534826,-0.9950851,0.04699241,0.7687141,0.2645915,0.3935871,-0.1193917,0.8722535,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.954,-73.75736,-57.04485,-225.7621,0.0744377,0.04534823,-0.9950851,0.04699254,0.7687141,0.2601115,0.3972821,-0.1185,0.8720474,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.004,-73.75736,-57.04485,-225.7621,0.07443773,0.04534826,-0.9950851,0.04699241,0.7687141,0.2536876,0.4087193,-0.1193826,0.8685269,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.054,-73.75736,-57.04485,-225.7621,0.0744377,0.04534823,-0.9950851,0.04699254,0.7687141,0.2397209,0.4383706,-0.1225465,0.857524,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.104,-73.75736,-57.04485,-225.7621,0.07443773,0.04534826,-0.9950851,0.04699241,0.7687141,0.220513,0.4756883,-0.1245241,0.8423707,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.154,-73.75736,-57.04485,-225.7621,0.0744377,0.04534823,-0.9950851,0.04699254,0.7687141,0.1941278,0.5189124,-0.1223325,0.8234556,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.204,-73.75736,-57.04485,-225.7621,0.07443773,0.04534826,-0.9950851,0.04699241,0.7687141,0.1664623,0.5644205,-0.1174502,0.7999533,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.254,-73.75736,-57.04485,-225.7621,0.0744377,0.04534823,-0.9950851,0.04699254,0.7687141,0.1372289,0.6131727,-0.1092467,0.770229,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.305,-73.75736,-57.04485,-225.7621,0.07443773,0.04534826,-0.9950851,0.04699241,0.7687141,0.1097378,0.6618777,-0.09883115,0.7349203,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.354,-73.75736,-57.04485,-225.7621,0.0744377,0.04534823,-0.9950851,0.04699254,0.7687141,0.0838603,0.7068433,-0.0850181,0.6972173,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.404,-73.75736,-57.04485,-225.7621,0.07443773,0.04534826,-0.9950851,0.04699241,0.7687141,0.06518558,0.7388911,-0.07223715,0.6667629,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.454,-73.75736,-57.04485,-225.7621,0.0744377,0.04534823,-0.9950851,0.04699254,0.7687141,0.05239796,0.7588561,-0.06153049,0.6462244,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.504,-73.75736,-57.04485,-225.7621,0.07443773,0.04534826,-0.9950851,0.04699241,0.7687141,0.0440666,0.7685513,-0.05324702,0.6360438,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.554,-73.75736,-57.04485,-225.7621,0.0744377,0.04534823,-0.9950851,0.04699254,0.7687141,0.03875365,0.7659426,-0.0463753,0.6400622,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.604,-73.75736,-57.04485,-225.7621,0.07443773,0.04534826,-0.9950851,0.04699241,0.7687141,0.03563692,0.7542366,-0.0410771,0.6543469,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.653,-73.75736,-57.04485,-225.7621,0.0744377,0.04534823,-0.9950851,0.04699254,0.7687141,0.03431978,0.7441994,-0.03835111,0.665972,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.705,-73.75736,-57.04485,-225.7621,0.07443773,0.04534826,-0.9950851,0.04699241,0.7687141,0.03348339,0.731091,-0.03597227,0.6805077,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8205.754,-73.75736,-57.04485,-225.7621,0.0744377,0.04534823,-0.9950851,0.04699254,0.7687141,0.03382348,0.7180852,-0.03498463,0.6942519,0,0,0,0,0.1486226,0.606047,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
